Date,SO2,NO2,O3,CO,PM10,PM2.5,AQI,AQI Category,Station code,District,Latitude,Longitude
2017-03-09,0.005,0.031,0.029,0.575,39.917,18.458,59.92,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-03-10,0.005,0.04,0.025,0.604,40.0,25.333,75.07,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-03-11,0.007,0.058,0.02,0.8,54.458,39.667,115.01,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-12,0.007,0.058,0.027,0.904,81.917,58.938,188.10749999999996,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-13,0.004,0.025,0.037,0.596,54.208,40.833,119.46,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-14,0.004,0.023,0.035,0.521,41.042,26.167,77.22,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-03-15,0.004,0.038,0.023,0.579,34.458,21.167,64.33,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-03-16,0.005,0.053,0.023,0.746,56.208,42.417,125.52,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-17,0.005,0.057,0.024,0.821,67.625,53.25,166.9,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-18,0.007,0.064,0.026,0.838,67.167,54.25,170.72,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-19,0.005,0.047,0.031,0.754,67.625,55.5,175.5,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-20,0.006,0.064,0.007,0.9924999999999999,86.833,58.938,188.10749999999996,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-21,0.008,0.033,0.031,0.9924999999999999,89.083,58.938,188.10749999999996,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-22,0.004,0.032,0.035,0.517,42.167,27.0,79.37,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-03-23,0.005,0.046,0.029,0.712,64.083,41.833,123.29,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-24,0.004,0.043,0.024,0.612,49.958,33.083,95.06,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-03-25,0.005,0.044,0.025,0.625,60.0,44.25,132.52,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-26,0.005,0.037,0.03,0.575,55.75,43.083,128.06,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-27,0.004,0.036,0.033,0.925,68.667,55.958,177.25,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-28,0.005,0.05,0.019,0.888,79.875,58.938,188.10749999999996,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-29,0.004,0.036,0.037,0.646,56.542,41.833,123.29,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-30,0.004,0.05,0.027,0.7,60.542,42.583,126.15,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-03-31,0.004,0.042,0.022,0.646,46.542,32.0,92.26,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-01,0.003,0.028,0.033,0.483,20.083,13.708,52.66,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-02,0.004,0.035,0.034,0.588,42.833,32.542,93.66,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-03,0.006,0.052,0.034,0.717,73.75,56.417,179.0,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-04-04,0.008,0.056,0.033,0.9924999999999999,64.875,49.458,152.42,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-04-05,0.006,0.059,0.018,0.696,54.917,35.958,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-04-06,0.003,0.031,0.025,0.479,23.792,15.708,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-04-07,0.003,0.038,0.023,0.558,35.5,24.417,72.71,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-08,0.004,0.044,0.021,0.667,57.333,42.917,127.43,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-04-09,0.003,0.024,0.032,0.533,36.833,25.292,74.96,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-10,0.003,0.033,0.033,0.479,24.0,14.083,54.38,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-11,0.004,0.033,0.036,0.517,46.833,22.292,67.23,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-12,0.008,0.018,0.039,0.925,63.792,28.333,83.79,Moderate,101,Jongno-gu,37.5720164,127.0050075
